"layer_name","short_name","pathway","container","product_pathway","product_subpathway","total_risk","cell_count"
"Express_courier_package_swine_products_by_products_personal_use_or_consumption","Expresscourier_pac_swi_per_2","Express_courier","package","swine products/by-products","personal use or consumption",2732290.22115897,3573
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonCBP_bag_swi_per_2","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",1613996.67008819,3573
"Maritime_Port___Vessel___Cargo___CBP_container_swine_products_by_products_commercial","MaritimePortVesselCargoCB_con_swi_com_2","Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial",524557.13,3573
"Express_courier_package_swine_products_by_products_smuggled_commercial_products","Expresscourier_pac_swi_smu_3","Express_courier","package","swine products/by-products","smuggled commercial products",381875.4,3573
"Maritime_Port___Vessel___Cargo___CBP_container_other_products_animal_based_feed","MaritimePortVesselCargoCB_con_oth_ani_1","Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed",169753.5,3573
"Airport___Aircraft___Person___CBP_baggage_swine_products_by_products_smuggled_commercial_products","AirportAircraftPersonCBP_bag_swi_smu_3","Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",98528.8933798835,3573
"Express_courier_package_other_products_unspecified_feed","Expresscourier_pac_oth_uns_1","Express_courier","package","other products","unspecified feed",56627.76,3573
"Airport___Aircraft___Person___CBP_baggage_other_products_animal_based_feed","AirportAircraftPersonCBP_bag_oth_ani_1","Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",33453.9086035538,3573
"Airport___Aircraft___Person___Pre_Clearance_baggage_swine_products_by_products_personal_use_or_consumption","AirportAircraftPersonPreC_bag_swi_per_2","Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",5466.53729578904,3573
"Land_Border___Truck___Conveyance___CBP_NB_baggage_swine_products_by_products_personal_use_or_consumption","LandBorderTruckConveyance_bag_swi_per_1","Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",283.020685395089,3573
"Airport___Aircraft___Person___Pre_Clearance_baggage_other_products_animal_based_feed","AirportAircraftPersonPreC_bag_oth_ani_1","Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",254.268,3573
