"PATHWAY","container","product_pathway","product_subpathway","IS_ASF_RISK","n"
"Airport - Aircraft - Cargo - CBP",NA,NA,NA,0,5391
"Airport - Aircraft - Passenger - Predeparture","baggage","swine products/by-products","personal use or consumption",0,1077
"Airport - Aircraft - Passenger - Predeparture","baggage","swine products/by-products","smuggled commercial products",0,3
"Airport - Aircraft - Passenger - Predeparture",NA,NA,NA,0,69921
"Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",0,153
"Airport - Aircraft - Person - CBP","baggage","other products","animal-based feed",1,54
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",0,5077
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","personal use or consumption",1,2525
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",0,12
"Airport - Aircraft - Person - CBP","baggage","swine products/by-products","smuggled commercial products",1,5
"Airport - Aircraft - Person - CBP",NA,NA,NA,0,312827
"Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",0,45
"Airport - Aircraft - Person - Pre-Clearance","baggage","other products","animal-based feed",1,2
"Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",0,823
"Airport - Aircraft - Person - Pre-Clearance","baggage","swine products/by-products","personal use or consumption",1,21
"Airport - Aircraft - Person - Pre-Clearance",NA,NA,NA,0,52053
"Cruise_ship","baggage","swine products/by-products","personal use or consumption",0,205
"Cruise_ship","baggage","swine products/by-products","smuggled commercial products",0,2
"Cruise_ship",NA,NA,NA,0,40018
"Express_courier","package","fomite","personal effects",0,1
"Express_courier","package","other products","plasma",0,3
"Express_courier","package","other products","smuggled commercial products",0,1
"Express_courier","package","other products","unspecified feed",0,8
"Express_courier","package","other products","unspecified feed",1,3
"Express_courier","package","swine products/by-products","personal use or consumption",0,50
"Express_courier","package","swine products/by-products","personal use or consumption",1,47
"Express_courier","package","swine products/by-products","smuggled commercial products",0,2
"Express_courier","package","swine products/by-products","smuggled commercial products",1,1
"Express_courier",NA,NA,NA,0,67794
"Land Border - Truck - Cargo - CBP NB",NA,NA,NA,0,8397
"Land Border - Truck - Cargo - CBP SB",NA,NA,NA,0,1945
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","animal-based feed",0,284
"Land Border - Truck - Conveyance - CBP NB","baggage","other products","smuggled commercial products",0,9
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",0,608
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","personal use or consumption",1,14
"Land Border - Truck - Conveyance - CBP NB","baggage","swine products/by-products","smuggled commercial products",0,7
"Land Border - Truck - Conveyance - CBP NB",NA,NA,NA,0,143920
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","animal-based feed",0,288
"Land Border - Truck - Conveyance - CBP SB","baggage","other products","smuggled commercial products",0,9
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","personal use or consumption",0,3780
"Land Border - Truck - Conveyance - CBP SB","baggage","swine products/by-products","smuggled commercial products",0,66
"Land Border - Truck - Conveyance - CBP SB","conveyance","fomite","plant based feed",0,1
"Land Border - Truck - Conveyance - CBP SB",NA,NA,NA,0,264690
"Maritime Port - Vessel - Cargo - CBP","container","other products","animal-based feed",1,1
"Maritime Port - Vessel - Cargo - CBP","container","swine products/by-products","commercial",1,3
"Maritime Port - Vessel - Cargo - CBP",NA,NA,NA,0,13682
"Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed",0,7
"Maritime Port - Vessel - Mail - CBP","package","other products","animal-based feed",1,5
"Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",0,111
"Maritime Port - Vessel - Mail - CBP","package","swine products/by-products","personal use or consumption",1,183
"Maritime Port - Vessel - Mail - CBP",NA,NA,NA,0,63990
"Pedestrian SB","baggage","other products","unspecified feed",0,9
"Pedestrian SB","baggage","swine products/by-products","personal use or consumption",0,551
"Pedestrian SB","baggage","swine products/by-products","smuggled commercial products",0,4
"Pedestrian SB",NA,NA,NA,0,293999
