"","CITY_DEST_NAME","STATE_DEST_CD"
"1","SAN BERNADINO","CA"
"2","SAN DEIGO","CA"
"3","NASHVILL","TN"
"4","HIDAQLGO","TX"
"5","GREENVILLE","AZ"
"6","TREVERSE","MI"
"7","SANDEIGO","CA"
"8","MILLIE","SC"
"9","BARERS FIED","CA"
"10","DAN YSIDRO","CA"
"11","LOS ANGELOS","CA"
"12","NATIOAL CITY","CA"
"13","NATINAL CITY","CA"
"14","LOS ANGELOS","AR"
"15","CARLSBED","CA"
"16","SAN DEIGO","AR"
"17","BALWIR PARK","CA"
"18","EL PASO","TN"
"19","NOGALES","AK"
"20","EDINBRUG","TX"
"21","PEARSAL","TX"
"22","IMPERAL BEACH","CA"
"23","OCEAN SIDE","CA"
"24","CAMPTON","CA"
"25","TOMECULA","CA"
"26","MCALEN","TX"
"27","GAINERVILLE","FL"
"28","MEZA","AZ"
"29","PERRY","AZ"
"30","CHULA VSITA","CA"
"31","LOA ANGELOS","CA"
"32","PHANEIX","AZ"
"33","SACRAMATO","CA"
"34","SAN SEIGO","CA"
"35","TREDMORE","GA"
"36","VIDEE","TX"
"37","OZUNA","TX"
"38","BELTFLOWER PORK","CA"
"39","NORWOLK","CA"
"40","ELKERT","IN"
"41","GREEN VALLEY","AK"
"42","NIALAND","CA"
"43","WELTON","AZ"
"44","PHARRR","TX"
"45","PAWAY","CA"
"46","SY","CA"
"47","CV","CA"
"48","STA MARIA","CA"
"49","SD","CA"
"50","N,TIONAL CITY","CA"
"51","GILEY","CO"
"52","NATIONAL CITY","AR"
"53","DEMOINES","IA"
"54","STORMLAKE","IA"
"55","CARIZOZO","NM"
"56","LA","CA"
"57","ANAHEM","CA"
"58","SANTAANA","CA"
"59","SANTA ANNA","CA"
"60","SAN DIEGOQ","CA"
"61","HIDLAGO","TX"
"62","BORREGO SPRING","CA"
"63","ENSENITA","CA"
"64","ASHFORK","AZ"
"65","SAUHUARITA","AZ"
"66","MCALLLEN","TX"
"67","ANAHEAM","CA"
"68","SAN BRANDINO","CA"
"69","AOS ANGELOS","CA"
"70","POAWAY","CA"
"71","FONATARA","CA"
"72","SAN YSIDRO","AR"
"73","FRESNS","CA"
"74","INSLEWOOD","CA"
"75","SANCLEMENTE","CA"
"76","SALNAS","CA"
"77","MAZEPPA","MN"
"78","DELENO","CA"
"79","STAKTON","CA"
"80","BLIDE","CA"
"81","CHULA VIST","CA"
"82","YOKAMA","WA"
"83","TURSA","OK"
"84","SOLADAD","CA"
"85","SANYSIDRO","CA"
"86","BROWNSVILL","TX"
"87","SALTON SEA","CA"
"88","REALTO","CA"
"89","YAKIMA","CA"
"90","LIBRO","KS"
"91","DARHAR","TX"
"92","ISLETA","TX"
"93","KEARNEY MESA","CA"
"94","EVAN","CO"
"95","GRAND PRARIE","TX"
"96","WHITLER","CA"
"97","MISSSION","TX"
"98","DIVINE","TX"
"99","OREN","UT"
"100","CHEEKSPEAK","VA"
"101","HIDAGO","TX"
"102","MSSION","TX"
"103","SEA FALL","SD"
"104","EL MONTE","AR"
"105","CORNADO","CA"
"106","FALLBROCK","CA"
"107","DAN DEIGO","CA"
"108","MODECO","CA"
"109","SAN TEE","AR"
"110","MARINO VALLEY","CA"
"111","TEMPA","FL"
"112","ESPERIA","CA"
"113","PAINE VALLEY","CA"
"114","TAGNA","AZ"
"115","INOYO","CA"
"116","NILAN","CA"
"117","WALTON","AZ"
"118","PIOPICO","CA"
"119","PHEONIX","AZ"
"120","OCENSIDE","CA"
"121","CHLA VISTA","CA"
"122","LOS  ANGELES","CA"
"123","ANAHIEM","CA"
"124","PINEVALLEY","CA"
"125","SAN YISIDRO","CA"
"126","MARTON","TX"
"127","PHILIDELPHIA","PA"
"128","NATIONAL ACITY","CA"
"129","EDINGBURG","TX"
"130","HDALGO","TX"
"131","ARLINTON","TX"
"132","LOSANGELES","CA"
"133","ROCKS SPRINGS","WY"
"134","MONTE","CA"
"135","HIDALGOL","TX"
"136","RANCHO PENESQUITOS","CA"
"137","FRISNO","CA"
"138","SNA YSIDRO","CA"
"139","VICALIA","CA"
"140","TULSA","TX"
"141","BONE VILLE","CA"
"142","TUMCACORI","AZ"
"143","FALL BROOK","CA"
"144","COVINNA","CA"
"145","OCEAN SIDE","AZ"
"146","TAMPA BAY","FL"
"147","PORT LA VACA","TX"
"148","REDDI","PA"
"149","ROCHESTER","NJ"
"150","GREENLY","CO"
"151","ALVARADO","CA"
"152","ACIENDA HIGH","CA"
"153","LOS VEGAS","NV"
"154","GAINSVILLE","NC"
"155","HERNOSA BEACH","CA"
"156","PAC.BEACH","CA"
"157","WILLMINGTON","CA"
"158","LAHABRA","CA"
"159","MON YOLAIR","CA"
"160","CLOVER","NM"
"161","CLEAR WATER","FL"
"162","SANJEAN","CA"
"163","SAN JUAN CAPISTRO","CA"
"164","PONTANA","CA"
"165","RAMOME","CA"
"166","ORG.CITY","CA"
"167","COVONA","CA"
"168","STUMAS","CA"
"169","LOS ANEGLOS","CA"
"170","GARDNER","TX"
"171","CARNES CITY","TX"
"172","JACKSON HOLE","NY"
"173","EL PASSO","TX"
"174","AMORETTA","SC"
"175","STEDELIN","NY"
"176","SAN CLENENFE","CA"
"177","SAN JUEN CAPISTRENO","CA"
"178","HARRIS","KY"
"179","NOGALES","AL"
"180","ALOHA OREGAN","CA"
"181","SOCORRO","TN"
"182","BAKERS FIELD","CA"
"183","S.D AIRPORT","CA"
"184","BARRET JUNCTION","CA"
"185","PHOENIX","AK"
"186","MONJE","CA"
"187","HOMA","CA"
"188","MERCEAL","CA"
"189","CATHERDAL CITY","CA"
"190","FLORESVILLE","AR"
"191","LEMORE","CA"
"192","FLAFURRIAS","TX"
"193","GOSHER","IN"
"194","NEW PORT","MS"
