"","LOCATION_ID","LOCATION_NAME","LOCATION_STATE_CODE","PATHWAY","COUNT"
"1",7410,"DAYTON, OH (4104)","OH","Airport - Aircraft - Person - CBP",2991
"2",7411,"DEL RIO, TX (2302)","TX","Airport - Aircraft - Person - CBP",2734
"3",7411,"DEL RIO, TX (2302)","TX","Land Border - Truck - Cargo - CBP SB",157150
"4",7411,"DEL RIO, TX (2302)","TX","Land Border - Truck - Conveyance - CBP SB",3528796
"5",7411,"DEL RIO, TX (2302)","TX","Pedestrian SB",690931
"6",7412,"DENVER, CO (3307)","CO","Airport - Aircraft - Cargo - CBP",113
"7",7412,"DENVER, CO (3307)","CO","Airport - Aircraft - Person - CBP",3365559
"8",7413,"DERBY LINE, VT (0209)","VT","Land Border - Truck - Cargo - CBP NB",171684
"9",7413,"DERBY LINE, VT (0209)","VT","Land Border - Truck - Conveyance - CBP NB",816701
"10",7413,"DERBY LINE, VT (0209)","VT","Pedestrian NB",67391
"11",7417,"DOUGLAS, AZ (2601)","AZ","Land Border - Truck - Cargo - CBP SB",38290
"12",7417,"DOUGLAS, AZ (2601)","AZ","Land Border - Truck - Conveyance - CBP SB",2400652
"13",7417,"DOUGLAS, AZ (2601)","AZ","Pedestrian SB",1075112
"14",7418,"Dover AFB","DE","Airport - Aircraft - Person - CBP",11413
"15",7419,"DULLES - WASHINGTON, DC (5401)","VA","Airport - Aircraft - Cargo - CBP",5420
"16",7419,"DULLES - WASHINGTON, DC (5401)","VA","Airport - Aircraft - Person - CBP",9146814
"17",7421,"DUNSEITH, ND (3422)","ND","Land Border - Truck - Cargo - CBP NB",58492
"18",7421,"DUNSEITH, ND (3422)","ND","Land Border - Truck - Conveyance - CBP NB",122138
"19",7421,"DUNSEITH, ND (3422)","ND","Pedestrian NB",2712
"20",7423,"Eagle Pass - Bridge I","TX","Land Border - Truck - Conveyance - CBP SB",2291315
"21",7423,"Eagle Pass - Bridge I","TX","Pedestrian SB",1407161
"22",7424,"Eagle Pass - Bridge II","TX","Airport - Aircraft - Person - CBP",269
"23",7424,"Eagle Pass - Bridge II","TX","Land Border - Truck - Cargo - CBP SB",460050
"24",7424,"Eagle Pass - Bridge II","TX","Land Border - Truck - Conveyance - CBP SB",3443234
"25",7424,"Eagle Pass - Bridge II","TX","Pedestrian SB",1224028
"26",7424,"Eagle Pass - Bridge II","TX","Rail_cargo",10
"27",7426,"EASTPORT, ID (3302)","ID","Land Border - Truck - Cargo - CBP NB",19547
"28",7426,"EASTPORT, ID (3302)","ID","Land Border - Truck - Conveyance - CBP NB",7438
"29",7426,"EASTPORT, ID (3302)","ID","Pedestrian NB",0
"30",7426,"EASTPORT, ID (3302)","ID","Rail_cargo",320
"31",7428,"El Paso - Bota","TX","Land Border - Truck - Cargo - CBP SB",34699
"32",7428,"El Paso - Bota","TX","Land Border - Truck - Conveyance - CBP SB",868252
"33",7428,"El Paso - Bota","TX","Pedestrian SB",420713
"34",7430,"EL PASO, TX (2402)","TX","Airport - Aircraft - Cargo - CBP",2
"35",7430,"EL PASO, TX (2402)","TX","Airport - Aircraft - Person - CBP",8727
"36",7430,"EL PASO, TX (2402)","TX","Express_courier",104984
"37",7438,"FT LAUDERDALE INTL AIRPT (5210)","FL","Airport - Aircraft - Cargo - CBP",141
"38",7438,"FT LAUDERDALE INTL AIRPT (5210)","FL","Airport - Aircraft - Person - CBP",5774794
"39",7439,"PORT EVERGLADES, FL (5203)","FL","Cruise_ship",5063289
"40",7439,"PORT EVERGLADES, FL (5203)","FL","Maritime Port - Vessel - Cargo - CBP",110167
"41",7439,"PORT EVERGLADES, FL (5203)","FL","RG_maritime",11520856
"42",7440,"FORT MYERS (1822)","FL","Airport - Aircraft - Person - CBP",82986
"43",7443,"GREEN BAY, WI (3703)","WI","Airport - Aircraft - Person - CBP",3479
"44",7443,"GREEN BAY, WI (3703)","WI","Cruise_ship",1378
"45",7443,"GREEN BAY, WI (3703)","WI","RG_maritime",45064
"46",7445,"Gulfport (1902)","MS","Airport - Aircraft - Person - CBP",2325
"47",7445,"Gulfport (1902)","MS","Cruise_ship",4260
"48",7445,"Gulfport (1902)","MS","Maritime Port - Vessel - Cargo - CBP",11788
"49",7445,"Gulfport (1902)","MS","RG_maritime",104890.65
"50",7446,"HARRISBURG, PA (1109)","PA","Airport - Aircraft - Person - CBP",1853
"51",7450,"HIGHGATE SPRINGS/ALBURG (0212)","VT","Airport - Aircraft - Person - CBP",2276
"52",7450,"HIGHGATE SPRINGS/ALBURG (0212)","VT","Land Border - Truck - Cargo - CBP NB",9258
"53",7450,"HIGHGATE SPRINGS/ALBURG (0212)","VT","Land Border - Truck - Conveyance - CBP NB",5
"54",7450,"HIGHGATE SPRINGS/ALBURG (0212)","VT","Pedestrian NB",0
"55",7450,"HIGHGATE SPRINGS/ALBURG (0212)","VT","Rail_cargo",148
"56",7451,"HILO, HI (3202)","HI","Airport - Aircraft - Person - CBP",11
"57",7451,"HILO, HI (3202)","HI","Cruise_ship",38726
"58",7454,"HONOLULU AIRPORT (3205)","HI","Airport - Aircraft - Cargo - CBP",1617
"59",7454,"HONOLULU AIRPORT (3205)","HI","Airport - Aircraft - Person - CBP",3638869
"60",7457,"HOUSTON GEO. BUSH INTERC (5309)","TX","Airport - Aircraft - Cargo - CBP",7987
"61",7457,"HOUSTON GEO. BUSH INTERC (5309)","TX","Airport - Aircraft - Person - CBP",11521247
"62",7459,"HOUSTON, TX (5301)","TX","Cruise_ship",240193
"63",7459,"HOUSTON, TX (5301)","TX","Maritime Port - Vessel - Cargo - CBP",39352
"64",7459,"HOUSTON, TX (5301)","TX","RG_maritime",5062590
"65",7461,"HUNTSVILLE, AL (1910)","AL","Airport - Aircraft - Cargo - CBP",161
"66",7461,"HUNTSVILLE, AL (1910)","AL","Airport - Aircraft - Person - CBP",1567
"67",7462,"INDIANAPOLIS, IN (4110)","IN","Airport - Aircraft - Person - CBP",39751
"68",7465,"JACKSONVILLE, FL (1803)","FL","Airport - Aircraft - Cargo - CBP",0
"69",7465,"JACKSONVILLE, FL (1803)","FL","Airport - Aircraft - Person - CBP",29379
"70",7465,"JACKSONVILLE, FL (1803)","FL","Cruise_ship",560000
"71",7465,"JACKSONVILLE, FL (1803)","FL","Maritime Port - Vessel - Cargo - CBP",6586
"72",7465,"JACKSONVILLE, FL (1803)","FL","RG_maritime",291192
"73",7466,"Halifax (7931)","DC","Airport - Aircraft - Person - Pre-Clearance",115352
"74",7467,"JOHN F KENNEDY AIRPORT (4701)","NY","Airport - Aircraft - Cargo - CBP",4918
"75",7467,"JOHN F KENNEDY AIRPORT (4701)","NY","Airport - Aircraft - Person - CBP",0
"76",7467,"JOHN F KENNEDY AIRPORT (4701)","NY","Express_courier",104983
"77",7467,"JOHN F KENNEDY AIRPORT (4701)","NY","Maritime Port - Vessel - Cargo - CBP",122
"78",7468,"JFK Air Cargo","NY","Airport - Aircraft - Cargo - CBP",1022
"79",7468,"JFK Air Cargo","NY","Express_courier",0
"80",7468,"JFK Air Cargo","NY","Maritime Port - Vessel - Cargo - CBP",13
"81",7470,"KAHULUI, HI (3203)","HI","Airport - Aircraft - Person - CBP",177
"82",7470,"KAHULUI, HI (3203)","HI","Cruise_ship",8082
"83",7471,"KONA HI (3206)","HI","Airport - Aircraft - Person - CBP",16311
"84",7471,"KONA HI (3206)","HI","Cruise_ship",27413
"85",7471,"KONA HI (3206)","HI","RG_maritime",36
"86",7472,"KANSAS CITY, MO (4501)","MO","Airport - Aircraft - Person - CBP",138481
"87",7475,"LAKE CHARLES, LA (2017)","LA","Cruise_ship",41603
"88",7475,"LAKE CHARLES, LA (2017)","LA","Maritime Port - Vessel - Cargo - CBP",1
"89",7475,"LAKE CHARLES, LA (2017)","LA","RG_maritime",133271
"90",7476,"Laredo - Bridge I","TX","Land Border - Truck - Conveyance - CBP SB",1
"91",7478,"LAREDO, TX (2304)","TX","Airport - Aircraft - Person - CBP",13220
"92",7478,"LAREDO, TX (2304)","TX","Land Border - Truck - Cargo - CBP SB",1622755
"93",7478,"LAREDO, TX (2304)","TX","Rail_cargo",67
"94",7479,"LAS VEGAS, NV (2722)","NV","Airport - Aircraft - Person - CBP",1865707
"95",7482,"LITTLE ROCK, AR (2003)","AR","Airport - Aircraft - Cargo - CBP",1
"96",7482,"LITTLE ROCK, AR (2003)","AR","Airport - Aircraft - Person - CBP",944
"97",7483,"LONG BEACH, CA (2709)","CA","Cruise_ship",89772
"98",7483,"LONG BEACH, CA (2709)","CA","Maritime Port - Vessel - Cargo - CBP",5146
"99",7483,"LONG BEACH, CA (2709)","CA","RG_maritime",5678458
"100",7486,"Los Angeles - Term Sat 7","CA","Airport - Aircraft - Person - CBP",1728275
"101",7487,"Los Angeles - TBIT","CA","Airport - Aircraft - Person - CBP",20273624
"102",7488,"LOS ANGELES INT AIRPORT (2720)","CA","Airport - Aircraft - Cargo - CBP",267393
"103",7488,"LOS ANGELES INT AIRPORT (2720)","CA","Express_courier",159312093
"104",7492,"LYNDEN, WA (3023)","WA","Land Border - Truck - Cargo - CBP NB",98023
"105",7492,"LYNDEN, WA (3023)","WA","Land Border - Truck - Conveyance - CBP NB",1145584
"106",7492,"LYNDEN, WA (3023)","WA","Pedestrian NB",13686
"107",7494,"MAYAGUEZ, PR (4907)","PR","Cruise_ship",36
"108",7495,"MEMPHIS, TN (2006)","TN","Airport - Aircraft - Cargo - CBP",0
"109",7495,"MEMPHIS, TN (2006)","TN","Airport - Aircraft - Person - CBP",3610
