entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
commercial,container,Animal,Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Meat, Processed",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Paste, Liver",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Pate,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Animal Blood,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Animal Part,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Animal, Carcass",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Animal, Live",HIGH,HIGH,HIGH,live animals,illegal imports
commercial,container,Animal,Manure,HIGH,HIGH,HIGH,fomite,contaminant
commercial,container,Animal,"Meat, Wild Animal",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Pork,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Pork Product,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Pork, Processed",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD affected regions - Fresh or frozen Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD free regions - Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD regions - Fresh or frozen Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD regions - Meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD regions - Other than meat,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Ruminant or Swine materials from FMD SR regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Swine materials from ASF regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Swine materials from CSF regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
commercial,container,Animal,Swine materials from CSF SR regions,HIGH,HIGH,HIGH,swine products/by-products,commercial
